City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
235,Namibe,-15.1961,12.1522,77.63,65,75,20.71,AO,2022-01-30 15:21:32
236,Laem Sing,12.4816,102.0738,85.14,82,76,8.63,TH,2022-01-30 15:21:33
237,Mount Gambier,-37.8333,140.7667,62.51,100,100,6.91,AU,2022-01-30 15:19:11
238,Dusti,37.3481,68.664,47.12,56,100,7.65,TJ,2022-01-30 15:21:34
239,Korla,41.7597,86.1469,24.98,55,8,2.93,CN,2022-01-30 15:19:51
240,Lompoc,34.6391,-120.4579,52.2,58,0,4.61,US,2022-01-30 15:21:36
241,Kamensk-Uralskiy,56.4185,61.9329,7.29,95,100,2.37,RU,2022-01-30 15:21:37
242,Bengbu,32.9408,117.3608,37.18,68,41,5.21,CN,2022-01-30 15:21:37
243,Marmaris,36.855,28.2742,58.95,77,79,9.4,TR,2022-01-30 15:21:38
244,Maningrida,-12.0667,134.2667,78.94,87,100,12.97,AU,2022-01-30 15:21:38
245,Novopokrovka,49.8425,36.5477,32.38,95,100,15.37,UA,2022-01-30 15:21:39
246,Inirida,3.8653,-67.9239,87.26,40,99,3.62,CO,2022-01-30 15:21:39
247,Vardo,70.3705,31.1107,22.75,74,83,5.1,NO,2022-01-30 15:21:40
248,Kaeo,-35.1,173.7833,61.32,94,100,9.24,NZ,2022-01-30 15:21:40
249,Ponta Do Sol,32.6667,-17.1,71.13,32,0,7.52,PT,2022-01-30 15:21:41
250,Michigan City,41.7075,-86.895,22.5,71,0,0.0,US,2022-01-30 15:21:41
251,Bayir,37.2687,28.2167,49.03,83,75,1.63,TR,2022-01-30 15:21:42
252,Turtas,58.9417,69.1325,6.19,96,100,4.88,RU,2022-01-30 15:21:42
253,Dalvik,65.9702,-18.5286,30.13,80,96,19.51,IS,2022-01-30 15:21:43
254,Kavaratti,10.5669,72.642,81.75,69,64,6.93,IN,2022-01-30 15:21:44
255,Doha,25.2867,51.5333,67.98,50,0,10.36,QA,2022-01-30 15:16:59
256,Huejuquilla El Alto,22.6,-103.8667,53.17,45,0,1.28,MX,2022-01-30 15:21:18
257,Yantal,56.8471,105.2542,1.76,99,100,2.46,RU,2022-01-30 15:21:44
258,Chuy,-33.6971,-53.4616,79.07,54,99,10.36,UY,2022-01-30 15:21:45
259,Smidovich,48.6,133.8167,-28.89,100,21,1.12,RU,2022-01-30 15:21:45
260,Laguna,38.421,-121.4238,49.84,92,0,0.0,US,2022-01-30 15:21:46
261,San Cristobal,7.7669,-72.225,68.18,47,100,1.45,VE,2022-01-30 15:21:47
262,Flinders,-34.5833,150.8552,73.2,85,88,5.99,AU,2022-01-30 15:21:47
263,Kasongo-Lunda,-6.4667,16.8167,88.77,47,76,5.01,CD,2022-01-30 15:21:47
264,Bathsheba,13.2167,-59.5167,83.01,65,40,19.57,BB,2022-01-30 15:21:48
265,Pisco,-13.7,-76.2167,74.01,78,0,6.91,PE,2022-01-30 15:21:49
266,Mocuba,-16.8392,36.9856,79.5,86,24,4.52,MZ,2022-01-30 15:21:49
267,Gigmoto,13.7796,124.39,77.7,86,36,0.47,PH,2022-01-30 15:21:49
268,Wuwei,37.9281,102.6414,17.83,47,0,3.09,CN,2022-01-30 15:21:50
269,Ratnagiri,16.9833,73.3,74.75,68,0,8.7,IN,2022-01-30 15:21:50
